List_Number,Name,Category,Type,MW,Density,Temperature,Refractive_Index,Melting_Point,Pressure,Boiling_Point,Dielectric_Constant
1,Water,other,None,18.02,0.9971,25,1.3329,0,760,100,78.54
2,Methanol,alcohol,None,32.04,0.7866,25,1.3265,-97.7,0,64.7,32.7
3,Acetonitrile,nitrile,None,41.05,0.7766,25,1.3416,-43.8,0,81.6,37.5
4,Ethylenimine,other,None,43.07,0.832,25,1.4123,-78,0,57,18.3
5,Acetaldehyde,aldehyde,None,44.05,0.778,20,1.3311,-123,0,20.4,21.1
6,Formamide,amide,None,45.04,1.1334,20,1.4475,2.6,0,210.5,109
7,Formic acid,acid,None,46.03,1.2141,25,1.3694,8.3,0,100.6,58.5
8,Ethanol,alcohol,None,46.07,0.785,25,1.3594,-114.1,0,78.3,24.55
9,Acrylonitrile,nitrile,None,53.06,0.8004,25,1.3888,-83.6,0,77.3,33
10,"1,2-butadiene",alkene,None,54.09,0.676,1,1.4205,-136.3,0,10.9,0
11,2-butyne,other,None,54.09,0.691,20,1.3921,-32.3,760,27,0
12,Propionitrile,nitrile,None,55.08,0.7818,20,1.3681,-92.8,0,97.4,27.2
13,Propionitrile,nitrile,None,55.08,0.7768,25,1.3636,-92.8,0,97.4,27.2
14,Acrolein,other,None,56.06,0.8389,20,1.4017,-87,0,52.7,0
15,Propargyl alcohol,alcohol,None,56.06,0.945,25,1.43,-51.8,0,113.6,24.5
16,Allylamine,amine,None,57.1,0.7629,20,1.4205,-88.2,0,53.3,0
17,Acetone,ketone,None,58.05,0.79,20,1.3587,-94.7,0,56.3,20.7
18,Acetone,ketone,None,58.08,0.7844,25,1.356,-94.7,0,56.3,20.7
19,Allyl alcohol,alcohol,None,58.08,0.854,20,1.4135,-129,0,97,0
20,2-propene-1-ol,alcohol,None,58.08,0.8421,30,1.409,-129,0,97.1,21.6
21,Propionaldehyde,aldehyde,None,58.08,0.7912,25,1.3593,-80,0,48,18.5
22,Propylene oxide,ether,None,58.08,0.8287,20,1.366,-111.9,0,33.9,0
23,N-methyl formamide,amide,None,59.07,0.9988,25,1.43,-3.8,0,182.5,182.4
